,age,sex,weight,reaction,count,applnNo
67,3,2,n,DRY SKIN,1,NDA204370
68,3,2,n,PRODUCT DOSE OMISSION ISSUE,1,NDA204370
69,3,2,n,PRURITUS,1,NDA204370
70,5,2,n,ANXIETY,3,NDA204370
71,5,2,n,NAUSEA,3,NDA204370
72,5,2,n,PAIN,3,NDA204370
73,5,2,h,DRUG INEFFECTIVE,3,NDA204370
74,5,2,h,COUGH,2,NDA204370
75,5,2,h,DYSPNOEA,2,NDA204370
76,6,2,n,ONYCHOCLASIS,2,NDA204370
77,6,2,n,PRODUCT PACKAGE ASSOCIATED INJURY,2,NDA204370
78,6,2,n,ACUTE RESPIRATORY FAILURE,1,NDA204370
79,4,1,l,ABDOMINAL WALL CYST,1,ANDA213810
80,4,1,l,ALTERED STATE OF CONSCIOUSNESS,1,ANDA213810
81,4,1,l,ANAL ABSCESS,1,ANDA213810
82,5,1,l,ARRHYTHMIA,1,ANDA213810
83,5,1,l,CARDIAC ARREST,1,ANDA213810
84,5,1,l,CONDITION AGGRAVATED,1,ANDA213810
85,5,1,n,DRUG INTERACTION,5,ANDA213810
86,5,1,n,SEROTONIN SYNDROME,4,ANDA213810
87,5,1,n,BLOOD CREATININE INCREASED,3,ANDA213810
88,5,1,h,BRADYCARDIA,1,ANDA213810
89,5,1,h,CARDIO-RESPIRATORY ARREST,1,ANDA213810
90,5,1,h,CARDIOGENIC SHOCK,1,ANDA213810
91,6,1,n,MYELOSUPPRESSION,1,ANDA213810
92,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,3,ANDA213810
93,1,2,l,LOW BIRTH WEIGHT BABY,3,ANDA213810
94,1,2,l,PREMATURE BABY,3,ANDA213810
95,5,2,n,DRUG INEFFECTIVE,3,ANDA213810
96,5,2,n,ANAPHYLACTIC SHOCK,2,ANDA213810
97,5,2,n,MATERNAL EXPOSURE DURING PREGNANCY,2,ANDA213810
98,5,2,h,DRUG INTERACTION,2,ANDA213810
99,5,2,h,HYPOTENSION,2,ANDA213810
100,5,2,h,POST-TRAUMATIC STRESS DISORDER,2,ANDA213810
101,6,2,n,ALTERED STATE OF CONSCIOUSNESS,1,ANDA213810
102,6,2,n,GENERAL PHYSICAL HEALTH DETERIORATION,1,ANDA213810
103,6,2,n,RESPIRATORY DISORDER,1,ANDA213810
104,6,2,h,TRACHEOBRONCHITIS,1,ANDA213810
105,1,1,l,FOETAL EXPOSURE DURING PREGNANCY,44,NDA021976
106,1,1,l,LOW BIRTH WEIGHT BABY,15,NDA021976
107,1,1,l,PREMATURE BABY,14,NDA021976
108,2,1,l,FOETAL EXPOSURE DURING PREGNANCY,20,NDA021976
109,2,1,l,ATRIAL SEPTAL DEFECT,8,NDA021976
110,2,1,l,PYELOCALIECTASIS,7,NDA021976
111,3,1,l,BLOOD HIV RNA,1,NDA021976
112,3,1,l,CHEST PAIN,1,NDA021976
113,3,1,l,DIZZINESS,1,NDA021976
114,3,1,n,ANAEMIA,3,NDA021976
115,3,1,n,BLOOD GLUCOSE INCREASED,3,NDA021976
116,3,1,n,LIPIDS INCREASED,3,NDA021976
117,4,1,l,CHEST PAIN,1,NDA021976
118,4,1,l,RASH,1,NDA021976
119,4,1,l,STEVENS-JOHNSON SYNDROME,1,NDA021976
120,4,1,n,IMMUNE RECONSTITUTION INFLAMMATORY SYNDROME,1,NDA021976
121,4,1,n,RASH,1,NDA021976
122,4,1,n,SINUSITIS,1,NDA021976
123,5,1,l,ANAEMIA,2,NDA021976
124,5,1,l,CHRONIC KIDNEY DISEASE,2,NDA021976
125,5,1,l,DIARRHOEA,2,NDA021976
126,5,1,n,PAIN,346,NDA021976
127,5,1,n,EMOTIONAL DISTRESS,340,NDA021976
128,5,1,n,ANXIETY,308,NDA021976
129,5,1,h,EMOTIONAL DISTRESS,142,NDA021976
130,5,1,h,PAIN,141,NDA021976
131,5,1,h,ANXIETY,137,NDA021976
132,6,1,n,ANXIETY,10,NDA021976
133,6,1,n,EMOTIONAL DISTRESS,10,NDA021976
134,6,1,n,ANHEDONIA,9,NDA021976
135,6,1,h,EMOTIONAL DISTRESS,6,NDA021976
136,6,1,h,PAIN,6,NDA021976
137,6,1,h,ANHEDONIA,5,NDA021976
138,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,46,NDA021976
139,1,2,l,PREMATURE BABY,11,NDA021976
140,1,2,l,FOETAL GROWTH RESTRICTION,10,NDA021976
141,2,2,l,FOETAL EXPOSURE DURING PREGNANCY,8,NDA021976
142,2,2,l,CONGENITAL ANOMALY,3,NDA021976
143,2,2,l,PREMATURE BABY,3,NDA021976
144,3,2,l,ABDOMINAL PAIN,1,NDA021976
145,3,2,l,DEAFNESS,1,NDA021976
146,3,2,l,DIARRHOEA,1,NDA021976
147,4,2,l,ASTHENIA,1,NDA021976
148,4,2,l,CYTOMEGALOVIRUS CHORIORETINITIS,1,NDA021976
149,4,2,l,DISTURBANCE IN ATTENTION,1,NDA021976
150,4,2,n,HERPES ZOSTER,1,NDA021976
151,4,2,n,IMMUNE RECONSTITUTION INFLAMMATORY SYNDROME,1,NDA021976
152,5,2,l,OSTEOPOROSIS,6,NDA021976
153,5,2,l,ANXIETY,5,NDA021976
154,5,2,l,ANHEDONIA,4,NDA021976
155,5,2,n,EMOTIONAL DISTRESS,119,NDA021976
156,5,2,n,PAIN,119,NDA021976
157,5,2,n,ANXIETY,110,NDA021976
158,5,2,h,EMOTIONAL DISTRESS,51,NDA021976
159,5,2,h,PAIN,51,NDA021976
160,5,2,h,ANXIETY,47,NDA021976
161,6,2,l,IMMUNE THROMBOCYTOPENIC PURPURA,1,NDA021976
162,6,2,n,CHRONIC KIDNEY DISEASE,5,NDA021976
163,6,2,n,EMOTIONAL DISTRESS,5,NDA021976
164,6,2,n,PAIN,5,NDA021976
165,1,2,l,ATRIAL SEPTAL DEFECT,1,NDA021187
166,1,2,l,CAESAREAN SECTION,1,NDA021187
167,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,1,NDA021187
168,4,2,n,CROHN^S DISEASE,2,NDA021187
169,4,2,n,INTESTINAL OBSTRUCTION,1,NDA021187
170,4,2,n,MESENTERIC VEIN THROMBOSIS,1,NDA021187
171,5,2,l,INJURY,2,NDA021187
172,5,2,l,ABDOMINAL PAIN,1,NDA021187
173,5,2,l,ABDOMINAL PAIN UPPER,1,NDA021187
174,5,2,n,INJURY,33,NDA021187
175,5,2,n,UTERINE PERFORATION,30,NDA021187
176,5,2,n,PAIN,27,NDA021187
177,5,2,h,INJURY,5,NDA021187
178,5,2,h,PAIN,5,NDA021187
179,5,2,h,UTERINE PERFORATION,5,NDA021187
180,6,2,n,BASAL GANGLIA HAEMORRHAGE,1,NDA021187
181,6,2,n,DRUG INTERACTION,1,NDA021187
182,6,2,n,HYPERTENSION,1,NDA021187
183,3,1,l,DERMATITIS ATOPIC,1,ANDA077200
184,3,1,l,INCORRECT DOSE ADMINISTERED,1,ANDA077200
185,3,1,l,VIRAL INFECTION,1,ANDA077200
186,4,1,l,CONDITION AGGRAVATED,1,ANDA077200
187,4,1,l,EOSINOPHILIC OESOPHAGITIS,1,ANDA077200
188,4,1,l,OFF LABEL USE,1,ANDA077200
189,4,1,n,DRY SKIN,1,ANDA077200
190,4,1,n,SKIN EXFOLIATION,1,ANDA077200
191,5,1,n,BLOOD PRESSURE DECREASED,2,ANDA077200
192,5,1,n,DIARRHOEA,2,ANDA077200
193,5,1,n,DRUG HYPERSENSITIVITY,2,ANDA077200
194,5,1,h,COMPLETED SUICIDE,1,ANDA077200
195,5,1,h,COVID-19,1,ANDA077200
196,5,1,h,DRY EYE,1,ANDA077200
197,6,1,n,ASTHENIA,2,ANDA077200
198,6,1,n,DIZZINESS,2,ANDA077200
199,6,1,n,DYSPNOEA,2,ANDA077200
200,4,2,l,CONJUNCTIVITIS,1,ANDA077200
201,4,2,l,OCULAR HYPERAEMIA,1,ANDA077200
202,5,2,l,ABORTION SPONTANEOUS,1,ANDA077200
203,5,2,l,ANTI-CYCLIC CITRULLINATED PEPTIDE ANTIBODY POSITIVE,1,ANDA077200
204,5,2,l,ARTHRALGIA,1,ANDA077200
205,5,2,n,ANXIETY,4,ANDA077200
206,5,2,n,CHEST PAIN,2,ANDA077200
207,5,2,n,CONDITION AGGRAVATED,2,ANDA077200
208,5,2,h,PAIN,2,ANDA077200
209,5,2,h,ANHEDONIA,1,ANDA077200
210,5,2,h,ANXIETY,1,ANDA077200
211,6,2,l,DRUG INEFFECTIVE,2,ANDA077200
212,6,2,l,RHINORRHOEA,2,ANDA077200
213,6,2,l,DISCOMFORT,1,ANDA077200
214,6,2,n,CHILLS,4,ANDA077200
215,6,2,n,CONTUSION,4,ANDA077200
216,6,2,n,DIZZINESS,4,ANDA077200
217,6,2,h,FATIGUE,2,ANDA077200
218,6,2,h,ALANINE AMINOTRANSFERASE INCREASED,1,ANDA077200
219,6,2,h,ASPARTATE AMINOTRANSFERASE INCREASED,1,ANDA077200
220,5,2,h,ENTEROBIASIS,1,part357B
221,3,1,l,APLASTIC ANAEMIA,4,ANDA201537
222,3,1,l,PYREXIA,4,ANDA201537
223,3,1,l,CONSTIPATION,1,ANDA201537
224,5,1,n,FEBRILE NEUTROPENIA,8,ANDA201537
225,5,1,n,ANAEMIA,5,ANDA201537
226,5,1,n,DEATH,4,ANDA201537
227,5,1,h,INFLAMMATION,4,ANDA201537
228,5,1,h,OFF LABEL USE,2,ANDA201537
229,5,1,h,PYREXIA,2,ANDA201537
230,6,1,l,DEATH,1,ANDA201537
231,6,1,l,NEPHROPATHY TOXIC,1,ANDA201537
232,6,1,n,FEBRILE NEUTROPENIA,43,ANDA201537
233,6,1,n,PNEUMONIA,20,ANDA201537
234,6,1,n,DEATH,15,ANDA201537
235,6,1,h,CLOSTRIDIUM BACTERAEMIA,3,ANDA201537
236,6,1,h,COVID-19,3,ANDA201537
237,6,1,h,FEBRILE NEUTROPENIA,3,ANDA201537
238,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,1,ANDA201537
239,1,2,l,PATENT DUCTUS ARTERIOSUS,1,ANDA201537
240,1,2,l,SMALL FOR DATES BABY,1,ANDA201537
241,3,2,l,ERYTHEMA NODOSUM,1,ANDA201537
242,3,2,l,EXTRAMEDULLARY HAEMOPOIESIS,1,ANDA201537
243,3,2,l,FEBRILE NEUTROPENIA,1,ANDA201537
244,5,2,l,ACUTE GRAFT VERSUS HOST DISEASE ORAL,1,ANDA201537
245,5,2,l,FEBRILE NEUTROPENIA,1,ANDA201537
246,5,2,l,GRAFT VERSUS HOST DISEASE IN LIVER,1,ANDA201537
247,5,2,n,FEBRILE NEUTROPENIA,6,ANDA201537
248,5,2,n,ACUTE MYELOID LEUKAEMIA,5,ANDA201537
249,5,2,n,PNEUMONIA,4,ANDA201537
250,5,2,h,BACK PAIN,1,ANDA201537
251,5,2,h,BREAST MASS,1,ANDA201537
252,5,2,h,ESCHERICHIA URINARY TRACT INFECTION,1,ANDA201537
253,6,2,l,FEBRILE NEUTROPENIA,2,ANDA201537
254,6,2,l,PANCREATITIS ACUTE,2,ANDA201537
255,6,2,l,BLAST CELL COUNT INCREASED,1,ANDA201537
256,6,2,n,FEBRILE NEUTROPENIA,28,ANDA201537
257,6,2,n,THROMBOCYTOPENIA,9,ANDA201537
258,6,2,n,PNEUMONIA,8,ANDA201537
259,6,2,h,FEBRILE NEUTROPENIA,2,ANDA201537
260,6,2,h,PLATELET COUNT DECREASED,1,ANDA201537
261,6,2,h,PNEUMONIA,1,ANDA201537
262,1,1,l,FOETAL EXPOSURE DURING PREGNANCY,11,BLA125472
263,1,1,l,PREMATURE BABY,8,BLA125472
264,1,1,l,LOW BIRTH WEIGHT BABY,7,BLA125472
265,3,1,l,OFF LABEL USE,2,BLA125472
266,3,1,l,PNEUMONIA,2,BLA125472
267,3,1,l,RASH,2,BLA125472
268,4,1,n,DRUG INEFFECTIVE,3,BLA125472
269,4,1,n,HEPATITIS B VIRUS TEST POSITIVE,3,BLA125472
270,4,1,n,INFUSION RELATED REACTION,3,BLA125472
271,5,1,l,COVID-19,2,BLA125472
272,5,1,l,EMBOLISM,2,BLA125472
273,5,1,l,PNEUMONIA BACTERIAL,2,BLA125472
274,5,1,n,DRUG INEFFECTIVE,44,BLA125472
275,5,1,n,PAIN,31,BLA125472
276,5,1,n,HEADACHE,28,BLA125472
277,5,1,h,WEIGHT DECREASED,12,BLA125472
278,5,1,h,DRUG INEFFECTIVE,11,BLA125472
279,5,1,h,HEADACHE,10,BLA125472
280,6,1,l,DRUG EFFECT INCOMPLETE,1,BLA125472
281,6,1,l,PULMONARY TUBERCULOSIS,1,BLA125472
282,6,1,n,OFF LABEL USE,16,BLA125472
283,6,1,n,CYTOKINE RELEASE SYNDROME,14,BLA125472
284,6,1,n,HYPOTENSION,12,BLA125472
285,6,1,h,ACUTE KIDNEY INJURY,7,BLA125472
286,6,1,h,LIVER FUNCTION TEST ABNORMAL,6,BLA125472
287,6,1,h,BLOOD CREATININE INCREASED,4,BLA125472
288,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,8,BLA125472
289,1,2,l,LOW BIRTH WEIGHT BABY,8,BLA125472
290,1,2,l,PREMATURE BABY,5,BLA125472
291,2,2,l,APNOEA,1,BLA125472
292,2,2,l,CYANOSIS,1,BLA125472
293,2,2,l,DEATH,1,BLA125472
294,2,2,n,ADRENAL INSUFFICIENCY,1,BLA125472
295,2,2,n,ANTIBODY TEST POSITIVE,1,BLA125472
296,2,2,n,ARTHRALGIA,1,BLA125472
297,2,2,h,CEREBROVASCULAR ACCIDENT,1,BLA125472
298,2,2,h,DRUG DELIVERY SYSTEM ISSUE,1,BLA125472
299,2,2,h,DYSPNOEA,1,BLA125472
300,3,2,l,DRUG INEFFECTIVE,16,BLA125472
301,3,2,l,PAIN,15,BLA125472
302,3,2,l,GENERAL PHYSICAL HEALTH DETERIORATION,14,BLA125472
303,3,2,n,JUVENILE IDIOPATHIC ARTHRITIS,13,BLA125472
304,3,2,n,NAUSEA,13,BLA125472
305,3,2,n,VOMITING,13,BLA125472
306,4,2,l,DRUG INEFFECTIVE,7,BLA125472
307,4,2,l,ARTHRITIS,5,BLA125472
308,4,2,l,ARTHROPATHY,5,BLA125472
309,4,2,n,NAUSEA,9,BLA125472
310,4,2,n,VOMITING,9,BLA125472
311,4,2,n,ARTHROPATHY,8,BLA125472
312,4,2,h,INJECTION SITE REACTION,1,BLA125472
313,4,2,h,OFF LABEL USE,1,BLA125472
314,4,2,h,PRODUCT USE ISSUE,1,BLA125472
315,5,2,l,OFF LABEL USE,3,BLA125472
316,5,2,l,CONDITION AGGRAVATED,2,BLA125472
317,5,2,l,DRUG INEFFECTIVE,2,BLA125472
318,5,2,n,DRUG INEFFECTIVE,420,BLA125472
319,5,2,n,PAIN,399,BLA125472
320,5,2,n,JOINT SWELLING,375,BLA125472
321,5,2,h,DRUG INEFFECTIVE,360,BLA125472
322,5,2,h,PAIN,327,BLA125472
323,5,2,h,ARTHRALGIA,324,BLA125472
324,6,2,l,ARTHRALGIA,2,BLA125472
325,6,2,l,B-CELL LYMPHOMA,2,BLA125472
326,6,2,l,DYSPNOEA,2,BLA125472
327,6,2,n,DRUG INEFFECTIVE,113,BLA125472
328,6,2,n,ARTHRALGIA,101,BLA125472
329,6,2,n,DRUG HYPERSENSITIVITY,66,BLA125472
330,6,2,h,PAIN,8,BLA125472
331,6,2,h,DIARRHOEA,7,BLA125472
332,6,2,h,OXYGEN SATURATION DECREASED,7,BLA125472
333,1,1,l,FOETAL EXPOSURE DURING PREGNANCY,2,ANDA078292
334,1,1,l,LARGE FOR DATES BABY,2,ANDA078292
335,1,1,l,VENTRICULAR SEPTAL DEFECT,2,ANDA078292
336,3,1,l,ANTICONVULSANT DRUG LEVEL DECREASED,1,ANDA078292
337,3,1,l,CONFUSIONAL STATE,1,ANDA078292
338,3,1,l,CYTOKINE RELEASE SYNDROME,1,ANDA078292
339,4,1,n,ANAEMIA,2,ANDA078292
340,4,1,n,NAUSEA,2,ANDA078292
341,4,1,n,NEUTROPHIL COUNT DECREASED,2,ANDA078292
342,5,1,l,ACUTE KIDNEY INJURY,1,ANDA078292
343,5,1,l,ACUTE RESPIRATORY FAILURE,1,ANDA078292
344,5,1,l,BASAL GANGLIA INFARCTION,1,ANDA078292
345,5,1,n,PAIN,42,ANDA078292
346,5,1,n,EMOTIONAL DISTRESS,39,ANDA078292
347,5,1,n,ANXIETY,33,ANDA078292
348,5,1,h,PAIN,4,ANDA078292
349,5,1,h,ANHEDONIA,3,ANDA078292
350,5,1,h,CHRONIC KIDNEY DISEASE,3,ANDA078292
351,6,1,n,WEIGHT DECREASED,5,ANDA078292
352,6,1,n,OFF LABEL USE,4,ANDA078292
353,6,1,n,DECREASED APPETITE,3,ANDA078292
354,6,1,h,COVID-19,2,ANDA078292
355,6,1,h,ADRENAL INSUFFICIENCY,1,ANDA078292
356,6,1,h,ARTHRALGIA,1,ANDA078292
357,4,2,l,DEVICE RELATED INFECTION,1,ANDA078292
358,4,2,l,DRUG INEFFECTIVE,1,ANDA078292
359,4,2,l,INFECTIVE PULMONARY EXACERBATION OF CYSTIC FIBROSIS,1,ANDA078292
360,4,2,n,ANOSMIA,2,ANDA078292
361,4,2,n,ASPARTATE AMINOTRANSFERASE INCREASED,2,ANDA078292
362,4,2,n,ATRIOVENTRICULAR BLOCK COMPLETE,2,ANDA078292
363,5,2,l,ABDOMINAL ABSCESS,1,ANDA078292
364,5,2,l,ANHEDONIA,1,ANDA078292
365,5,2,l,ANXIETY,1,ANDA078292
366,5,2,n,PAIN,13,ANDA078292
367,5,2,n,EMOTIONAL DISTRESS,12,ANDA078292
368,5,2,n,ANXIETY,11,ANDA078292
369,5,2,h,ASTHMA,3,ANDA078292
370,5,2,h,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3,ANDA078292
371,5,2,h,DYSPNOEA,3,ANDA078292
372,6,2,n,FATIGUE,5,ANDA078292
373,6,2,n,DIARRHOEA,3,ANDA078292
374,6,2,n,HAEMOGLOBIN DECREASED,3,ANDA078292
375,6,2,h,BACK PAIN,2,ANDA078292
376,6,2,h,DECREASED APPETITE,2,ANDA078292
377,6,2,h,FATIGUE,2,ANDA078292
378,1,1,l,FOETAL EXPOSURE DURING PREGNANCY,28,NDA021947
379,1,1,l,PREMATURE BABY,22,NDA021947
380,1,1,l,LOW BIRTH WEIGHT BABY,13,NDA021947
381,2,1,l,NEUROMUSCULAR BLOCK PROLONGED,5,NDA021947
382,2,1,l,HYPERKALAEMIA,4,NDA021947
383,2,1,l,OEDEMA,4,NDA021947
384,3,1,l,VOMITING,5,NDA021947
385,3,1,l,ATELECTASIS,3,NDA021947
386,3,1,l,BRONCHOSPASM,3,NDA021947
387,3,1,n,GASTROINTESTINAL HAEMORRHAGE,2,NDA021947
388,3,1,n,CONSTIPATION,1,NDA021947
389,3,1,n,CROHN^S DISEASE,1,NDA021947
390,4,1,l,CONSTIPATION,2,NDA021947
391,4,1,l,FEBRILE NEUTROPENIA,2,NDA021947
392,4,1,l,ABDOMINAL WALL CYST,1,NDA021947
393,4,1,n,MUCOSAL INFLAMMATION,4,NDA021947
394,4,1,n,APLASTIC ANAEMIA,3,NDA021947
395,4,1,n,DIABETES INSIPIDUS,3,NDA021947
396,4,1,h,BRAIN OEDEMA,2,NDA021947
397,4,1,h,DRUG INTERACTION,2,NDA021947
398,4,1,h,DRUG INTOLERANCE,2,NDA021947
399,5,1,l,BALANCE DISORDER,2,NDA021947
400,5,1,l,FEBRILE NEUTROPENIA,2,NDA021947
401,5,1,l,PNEUMONIA,2,NDA021947
402,5,1,n,PAIN,67,NDA021947
403,5,1,n,ANXIETY,38,NDA021947
404,5,1,n,NAUSEA,37,NDA021947
405,5,1,h,PAIN,30,NDA021947
406,5,1,h,ACUTE KIDNEY INJURY,22,NDA021947
407,5,1,h,DRUG INEFFECTIVE,19,NDA021947
408,6,1,l,ABDOMINAL PAIN,3,NDA021947
409,6,1,l,ANAEMIA,2,NDA021947
410,6,1,l,CONDITION AGGRAVATED,2,NDA021947
411,6,1,n,NAUSEA,33,NDA021947
412,6,1,n,PYREXIA,30,NDA021947
413,6,1,n,THROMBOCYTOPENIA,29,NDA021947
414,6,1,h,HYPOTENSION,11,NDA021947
415,6,1,h,ACUTE KIDNEY INJURY,10,NDA021947
416,6,1,h,DYSPNOEA,9,NDA021947
417,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,21,NDA021947
418,1,2,l,PREMATURE BABY,16,NDA021947
419,1,2,l,LOW BIRTH WEIGHT BABY,13,NDA021947
420,2,2,l,OFF LABEL USE,6,NDA021947
421,2,2,l,AGITATION,3,NDA021947
422,2,2,l,DIARRHOEA,3,NDA021947
423,3,2,l,OFF LABEL USE,6,NDA021947
424,3,2,l,PYREXIA,4,NDA021947
425,3,2,l,ALANINE AMINOTRANSFERASE INCREASED,3,NDA021947
426,3,2,n,OFF LABEL USE,2,NDA021947
427,3,2,n,AGITATION,1,NDA021947
428,3,2,n,ANAEMIA,1,NDA021947
429,4,2,l,DYSPNOEA,3,NDA021947
430,4,2,l,HYPOXIA,3,NDA021947
431,4,2,l,PROTEINURIA,2,NDA021947
432,4,2,n,NAUSEA,6,NDA021947
433,4,2,n,VOMITING,5,NDA021947
434,4,2,n,ANXIETY,4,NDA021947
435,4,2,h,ACUTE KIDNEY INJURY,1,NDA021947
436,4,2,h,PYREXIA,1,NDA021947
437,4,2,h,RESPIRATORY DISTRESS,1,NDA021947
438,5,2,l,GENERAL PHYSICAL HEALTH DETERIORATION,10,NDA021947
439,5,2,l,DIZZINESS,8,NDA021947
440,5,2,l,HEADACHE,8,NDA021947
441,5,2,n,NAUSEA,87,NDA021947
442,5,2,n,PAIN,76,NDA021947
443,5,2,n,DRUG INEFFECTIVE,68,NDA021947
444,5,2,h,PAIN,19,NDA021947
445,5,2,h,DRUG INEFFECTIVE,16,NDA021947
446,5,2,h,FATIGUE,16,NDA021947
447,6,2,l,PYREXIA,6,NDA021947
448,6,2,l,DECREASED APPETITE,4,NDA021947
449,6,2,l,FALL,4,NDA021947
450,6,2,n,ANAEMIA,48,NDA021947
451,6,2,n,DRUG INEFFECTIVE,48,NDA021947
452,6,2,n,GENERAL PHYSICAL HEALTH DETERIORATION,48,NDA021947
453,6,2,h,PAIN,5,NDA021947
454,6,2,h,ACUTE KIDNEY INJURY,4,NDA021947
455,6,2,h,DRUG INEFFECTIVE,4,NDA021947
456,4,2,n,ASTHENIA,1,ANDA091452
457,4,2,n,CROHN^S DISEASE,1,ANDA091452
458,4,2,n,DISCOMFORT,1,ANDA091452
459,5,2,n,BACK PAIN,3,ANDA091452
460,5,2,n,CROHN^S DISEASE,3,ANDA091452
461,5,2,n,HEADACHE,2,ANDA091452
462,5,2,h,DECREASED APPETITE,1,ANDA091452
463,5,2,h,DIARRHOEA,1,ANDA091452
464,5,2,h,ECZEMA,1,ANDA091452
465,1,1,l,BREECH PRESENTATION,5,NDA207932
466,1,1,l,DRUG WITHDRAWAL SYNDROME NEONATAL,5,NDA207932
467,1,1,l,EXPOSURE VIA BREAST MILK,5,NDA207932
468,5,1,n,ANHEDONIA,2,NDA207932
469,5,1,n,ANXIETY,2,NDA207932
470,5,1,n,EMOTIONAL DISTRESS,2,NDA207932
471,5,1,h,DRUG INEFFECTIVE,3,NDA207932
472,5,1,h,PRODUCT ADHESION ISSUE,3,NDA207932
473,5,1,h,THERAPEUTIC RESPONSE DECREASED,3,NDA207932
474,6,1,n,THERAPEUTIC RESPONSE DECREASED,3,NDA207932
475,6,1,n,DRUG WITHDRAWAL SYNDROME,2,NDA207932
476,6,1,n,OFF LABEL USE,2,NDA207932
477,6,1,h,FALL,2,NDA207932
478,6,1,h,HAEMARTHROSIS,2,NDA207932
479,6,1,h,ARTHRALGIA,1,NDA207932
480,1,2,l,FOETAL EXPOSURE DURING PREGNANCY,4,NDA207932
