,Unnamed: 0,count,event,applnNo
59,59,124,Life Threatening Event,ANDA211034
60,60,247,Serious Cases,ANDA208011
61,61,7,Death,ANDA208011
62,62,6,Disabling,ANDA208011
63,63,68,Hospitalization,ANDA208011
64,64,4,Life Threatening Event,ANDA208011
65,65,1043,Serious Cases,ANDA074007
66,66,44,Death,ANDA074007
67,67,14,Disabling,ANDA074007
68,68,815,Hospitalization,ANDA074007
69,69,87,Life Threatening Event,ANDA074007
70,70,686,Serious Cases,NDA022501
71,71,8,Death,NDA022501
72,72,51,Disabling,NDA022501
73,73,214,Hospitalization,NDA022501
74,74,56,Life Threatening Event,NDA022501
75,75,3124,Serious Cases,NDA010721
76,76,414,Death,NDA010721
77,77,131,Disabling,NDA010721
78,78,1562,Hospitalization,NDA010721
79,79,70,Life Threatening Event,NDA010721
80,80,277,Serious Cases,ANDA086195
81,81,31,Death,ANDA086195
82,82,11,Disabling,ANDA086195
83,83,149,Hospitalization,ANDA086195
84,84,12,Life Threatening Event,ANDA086195
85,85,19493,Serious Cases,NDA204623
86,86,2240,Death,NDA204623
87,87,2767,Disabling,NDA204623
88,88,7938,Hospitalization,NDA204623
89,89,2319,Life Threatening Event,NDA204623
90,90,6676,Serious Cases,ANDA076485
91,91,395,Death,ANDA076485
92,92,295,Disabling,ANDA076485
93,93,1142,Hospitalization,ANDA076485
94,94,243,Life Threatening Event,ANDA076485
95,95,5209,Serious Cases,BLA019640
96,96,445,Death,BLA019640
97,97,142,Disabling,BLA019640
98,98,2071,Hospitalization,BLA019640
99,99,266,Life Threatening Event,BLA019640
100,100,183293,Serious Cases,ANDA077293
101,101,34878,Death,ANDA077293
102,102,6183,Disabling,ANDA077293
103,103,109016,Hospitalization,ANDA077293
104,104,15404,Life Threatening Event,ANDA077293
105,105,15108,Serious Cases,BLA761201
106,106,1925,Death,BLA761201
107,107,547,Disabling,BLA761201
108,108,9105,Hospitalization,BLA761201
109,109,1424,Life Threatening Event,BLA761201
110,110,166680,Serious Cases,NDA019777
111,111,21667,Death,NDA019777
112,112,7292,Disabling,NDA019777
113,113,87612,Hospitalization,NDA019777
114,114,10725,Life Threatening Event,NDA019777
115,115,605,Serious Cases,ANDA215061
116,116,116,Death,ANDA215061
117,117,34,Disabling,ANDA215061
118,118,210,Hospitalization,ANDA215061
119,119,78,Life Threatening Event,ANDA215061
120,120,835,Serious Cases,NDA018652
121,121,273,Death,NDA018652
122,122,279,Disabling,NDA018652
123,123,545,Hospitalization,NDA018652
124,124,324,Life Threatening Event,NDA018652
125,125,12851,Serious Cases,NDA202270
126,126,1980,Death,NDA202270
127,127,613,Disabling,NDA202270
128,128,6429,Hospitalization,NDA202270
129,129,1162,Life Threatening Event,NDA202270
130,130,3958,Serious Cases,ANDA212963
131,131,824,Death,ANDA212963
132,132,135,Disabling,ANDA212963
133,133,1921,Hospitalization,ANDA212963
134,134,227,Life Threatening Event,ANDA212963
135,135,65,Serious Cases,NDA017604
136,136,13,Death,NDA017604
137,137,1,Disabling,NDA017604
138,138,22,Hospitalization,NDA017604
139,139,5,Life Threatening Event,NDA017604
140,140,137,Serious Cases,NDA022063
141,141,5,Death,NDA022063
142,142,9,Disabling,NDA022063
143,143,27,Hospitalization,NDA022063
144,144,5,Life Threatening Event,NDA022063
145,145,38728,Serious Cases,ANDA090440
146,146,6231,Death,ANDA090440
147,147,1397,Disabling,ANDA090440
148,148,19880,Hospitalization,ANDA090440
149,149,3266,Life Threatening Event,ANDA090440
150,150,1894,Serious Cases,ANDA206665
151,151,428,Death,ANDA206665
152,152,115,Disabling,ANDA206665
153,153,1079,Hospitalization,ANDA206665
154,154,233,Life Threatening Event,ANDA206665
155,155,52720,Serious Cases,NDA020505
156,156,4598,Death,NDA020505
157,157,2338,Disabling,NDA020505
158,158,19035,Hospitalization,NDA020505
159,159,2520,Life Threatening Event,NDA020505
160,160,8089,Serious Cases,NDA021658
161,161,361,Death,NDA021658
162,162,210,Disabling,NDA021658
163,163,4160,Hospitalization,NDA021658
164,164,365,Life Threatening Event,NDA021658
165,165,626,Serious Cases,NDA022580
166,166,11,Death,NDA022580
167,167,43,Disabling,NDA022580
168,168,182,Hospitalization,NDA022580
169,169,27,Life Threatening Event,NDA022580
170,170,962,Serious Cases,ANDA078621
171,171,55,Death,ANDA078621
172,172,22,Disabling,ANDA078621
173,173,397,Hospitalization,ANDA078621
174,174,13,Life Threatening Event,ANDA078621
175,175,53220,Serious Cases,NDA210563
176,176,11863,Death,NDA210563
177,177,438,Disabling,NDA210563
178,178,23595,Hospitalization,NDA210563
179,179,1636,Life Threatening Event,NDA210563
180,180,2885,Serious Cases,NDA020758
181,181,269,Death,NDA020758
182,182,142,Disabling,NDA020758
183,183,1463,Hospitalization,NDA020758
184,184,140,Life Threatening Event,NDA020758
185,185,20109,Serious Cases,BLA205692
186,186,2355,Death,BLA205692
187,187,759,Disabling,BLA205692
188,188,11354,Hospitalization,BLA205692
189,189,1554,Life Threatening Event,BLA205692
190,190,185,Serious Cases,ANDA206787
191,191,3,Death,ANDA206787
192,192,5,Disabling,ANDA206787
193,193,81,Hospitalization,ANDA206787
194,194,3,Life Threatening Event,ANDA206787
195,195,3491,Serious Cases,NDA020438
196,196,473,Death,NDA020438
197,197,88,Disabling,NDA020438
198,198,1165,Hospitalization,NDA020438
199,199,277,Life Threatening Event,NDA020438
200,200,9676,Serious Cases,ANDA207350
201,201,1856,Death,ANDA207350
202,202,277,Disabling,ANDA207350
203,203,5585,Hospitalization,ANDA207350
204,204,1525,Life Threatening Event,ANDA207350
205,205,39382,Serious Cases,NDA021318
206,206,5018,Death,NDA021318
207,207,753,Disabling,NDA021318
208,208,23383,Hospitalization,NDA021318
209,209,658,Life Threatening Event,NDA021318
210,210,3087,Serious Cases,BLA020367
211,211,769,Death,BLA020367
212,212,93,Disabling,BLA020367
213,213,1365,Hospitalization,BLA020367
214,214,101,Life Threatening Event,BLA020367
215,215,4857,Serious Cases,ANDA077100
216,216,365,Death,ANDA077100
217,217,143,Disabling,ANDA077100
218,218,2525,Hospitalization,ANDA077100
219,219,269,Life Threatening Event,ANDA077100
220,220,11876,Serious Cases,BLA018781
221,221,1317,Death,BLA018781
222,222,715,Disabling,BLA018781
223,223,6394,Hospitalization,BLA018781
224,224,688,Life Threatening Event,BLA018781
225,225,156,Serious Cases,NDA018689
226,226,28,Death,NDA018689
227,227,8,Disabling,NDA018689
228,228,94,Hospitalization,NDA018689
229,229,8,Life Threatening Event,NDA018689
230,230,47393,Serious Cases,M022
231,231,6035,Death,M022
232,232,1329,Disabling,M022
233,233,26391,Hospitalization,M022
234,234,4137,Life Threatening Event,M022
235,235,2327,Serious Cases,NDA020873
236,236,583,Death,NDA020873
237,237,44,Disabling,NDA020873
238,238,705,Hospitalization,NDA020873
239,239,345,Life Threatening Event,NDA020873
240,240,85327,Serious Cases,NDA050777
241,241,15220,Death,NDA050777
242,242,1324,Disabling,NDA050777
243,243,36342,Hospitalization,NDA050777
244,244,7055,Life Threatening Event,NDA050777
245,245,34183,Serious Cases,NDA021806
246,246,4455,Death,NDA021806
247,247,1612,Disabling,NDA021806
248,248,15918,Hospitalization,NDA021806
249,249,3297,Life Threatening Event,NDA021806
250,250,18944,Serious Cases,NDA018998
251,251,2665,Death,NDA018998
252,252,841,Disabling,NDA018998
253,253,11192,Hospitalization,NDA018998
254,254,1714,Life Threatening Event,NDA018998
255,255,41151,Serious Cases,NDA204410
256,256,11243,Death,NDA204410
257,257,628,Disabling,NDA204410
258,258,28792,Hospitalization,NDA204410
259,259,978,Life Threatening Event,NDA204410
260,260,13259,Serious Cases,ANDA076504
261,261,1194,Death,ANDA076504
262,262,560,Disabling,ANDA076504
263,263,5903,Hospitalization,ANDA076504
264,264,629,Life Threatening Event,ANDA076504
265,265,60,Serious Cases,ANDA216981
266,266,8,Death,ANDA216981
267,267,3,Disabling,ANDA216981
268,268,28,Hospitalization,ANDA216981
269,269,6,Life Threatening Event,ANDA216981
270,270,65929,Serious Cases,NDA202080
271,271,27058,Death,NDA202080
272,272,6975,Disabling,NDA202080
273,273,10333,Hospitalization,NDA202080
274,274,1403,Life Threatening Event,NDA202080
275,275,508,Serious Cases,NDA019941
276,276,86,Death,NDA019941
277,277,15,Disabling,NDA019941
278,278,283,Hospitalization,NDA019941
279,279,27,Life Threatening Event,NDA019941
280,280,614447,Serious Cases,part343
281,281,90855,Death,part343
282,282,26276,Disabling,part343
283,283,318100,Hospitalization,part343
284,284,41413,Life Threatening Event,part343
285,285,511,Serious Cases,ANDA207127
286,286,114,Death,ANDA207127
287,287,9,Disabling,ANDA207127
288,288,277,Hospitalization,ANDA207127
289,289,42,Life Threatening Event,ANDA207127
290,290,1232,Serious Cases,NDA020470
291,291,71,Death,NDA020470
292,292,87,Disabling,NDA020470
293,293,490,Hospitalization,NDA020470
294,294,46,Life Threatening Event,NDA020470
295,295,1843,Serious Cases,NDA050616
296,296,129,Death,NDA050616
297,297,95,Disabling,NDA050616
298,298,728,Hospitalization,NDA050616
299,299,78,Life Threatening Event,NDA050616
300,300,7814,Serious Cases,ANDA205501
301,301,991,Death,ANDA205501
302,302,194,Disabling,ANDA205501
303,303,4731,Hospitalization,ANDA205501
304,304,553,Life Threatening Event,ANDA205501
305,305,15,Serious Cases,NDA017744
306,306,1,Death,NDA017744
307,307,1,Disabling,NDA017744
308,308,10,Hospitalization,NDA017744
309,309,8230,Serious Cases,ANDA212913
310,310,1216,Death,ANDA212913
311,311,274,Disabling,ANDA212913
312,312,4639,Hospitalization,ANDA212913
313,313,443,Life Threatening Event,ANDA212913
314,314,19116,Serious Cases,NDA022309
315,315,1559,Death,NDA022309
316,316,1212,Disabling,NDA022309
317,317,7288,Hospitalization,NDA022309
318,318,797,Life Threatening Event,NDA022309
319,319,1202,Serious Cases,NDA018760
320,320,124,Death,NDA018760
321,321,41,Disabling,NDA018760
322,322,490,Hospitalization,NDA018760
323,323,78,Life Threatening Event,NDA018760
324,324,3513,Serious Cases,ANDA071345
325,325,417,Death,ANDA071345
326,326,207,Disabling,ANDA071345
327,327,1729,Hospitalization,ANDA071345
328,328,174,Life Threatening Event,ANDA071345
329,329,693,Serious Cases,ANDA075808
330,330,17,Death,ANDA075808
331,331,32,Disabling,ANDA075808
332,332,265,Hospitalization,ANDA075808
333,333,58,Life Threatening Event,ANDA075808
334,334,10458,Serious Cases,BLA103471
335,335,1298,Death,BLA103471
336,336,242,Disabling,BLA103471
337,337,4172,Hospitalization,BLA103471
338,338,125,Life Threatening Event,BLA103471
339,339,9432,Serious Cases,ANDA203557
340,340,2105,Death,ANDA203557
341,341,211,Disabling,ANDA203557
342,342,5602,Hospitalization,ANDA203557
343,343,1625,Life Threatening Event,ANDA203557
344,344,34294,Serious Cases,NDA020531
345,345,4462,Death,NDA020531
346,346,1619,Disabling,NDA020531
347,347,15963,Hospitalization,NDA020531
348,348,3305,Life Threatening Event,NDA020531
349,349,2637,Serious Cases,BLA125511
350,350,81,Death,BLA125511
351,351,25,Disabling,BLA125511
352,352,1462,Hospitalization,BLA125511
353,353,561,Life Threatening Event,BLA125511
354,354,144478,Serious Cases,NDA020839
355,355,19987,Death,NDA020839
356,356,5642,Disabling,NDA020839
357,357,82602,Hospitalization,NDA020839
358,358,10551,Life Threatening Event,NDA020839
359,359,179,Serious Cases,NDA021876
360,360,11,Death,NDA021876
361,361,5,Disabling,NDA021876
362,362,75,Hospitalization,NDA021876
363,363,5,Life Threatening Event,NDA021876
364,364,8032,Serious Cases,ANDA212809
365,365,1506,Death,ANDA212809
366,366,357,Disabling,ANDA212809
367,367,4544,Hospitalization,ANDA212809
368,368,820,Life Threatening Event,ANDA212809
369,369,237,Serious Cases,NDA021355
370,370,9,Death,NDA021355
371,371,9,Disabling,NDA021355
372,372,76,Hospitalization,NDA021355
373,373,6,Life Threatening Event,NDA021355
374,374,95,Serious Cases,BLA125249
375,375,10,Death,BLA125249
376,376,3,Disabling,BLA125249
377,377,46,Hospitalization,BLA125249
378,378,4,Life Threatening Event,BLA125249
379,379,236,Serious Cases,NDA022090
380,380,2,Death,NDA022090
381,381,2,Disabling,NDA022090
382,382,27,Hospitalization,NDA022090
383,383,5,Life Threatening Event,NDA022090
384,384,1326,Serious Cases,ANDA200166
385,385,778,Death,ANDA200166
386,386,12,Disabling,ANDA200166
387,387,296,Hospitalization,ANDA200166
388,388,30,Life Threatening Event,ANDA200166
389,389,20095,Serious Cases,NDA022433
390,390,2841,Death,NDA022433
391,391,569,Disabling,NDA022433
392,392,10236,Hospitalization,NDA022433
393,393,1856,Life Threatening Event,NDA022433
394,394,207102,Serious Cases,part341
395,395,50418,Death,part341
396,396,8109,Disabling,part341
397,397,98630,Hospitalization,part341
398,398,15652,Life Threatening Event,part341
399,399,72106,Serious Cases,NDA020272
400,400,8479,Death,NDA020272
401,401,2646,Disabling,NDA020272
402,402,32357,Hospitalization,NDA020272
403,403,4973,Life Threatening Event,NDA020272
404,404,4328,Serious Cases,NDA020796
405,405,779,Death,NDA020796
406,406,126,Disabling,NDA020796
407,407,2118,Hospitalization,NDA020796
408,408,153,Life Threatening Event,NDA020796
409,409,5343,Serious Cases,ANDA077760
410,410,987,Death,ANDA077760
411,411,254,Disabling,ANDA077760
412,412,2329,Hospitalization,ANDA077760
413,413,525,Life Threatening Event,ANDA077760
414,414,8190,Serious Cases,NDA202570
415,415,3327,Death,NDA202570
416,416,98,Disabling,NDA202570
417,417,2827,Hospitalization,NDA202570
418,418,318,Life Threatening Event,NDA202570
419,419,888,Serious Cases,part355
420,420,132,Death,part355
421,421,58,Disabling,part355
422,422,394,Hospitalization,part355
423,423,61,Life Threatening Event,part355
424,424,6695,Serious Cases,NDA022497
425,425,1398,Death,NDA022497
426,426,243,Disabling,NDA022497
427,427,2516,Hospitalization,NDA022497
428,428,410,Life Threatening Event,NDA022497
429,429,8261,Serious Cases,ANDA077431
430,430,1228,Death,ANDA077431
431,431,253,Disabling,ANDA077431
432,432,2807,Hospitalization,ANDA077431
433,433,453,Life Threatening Event,ANDA077431
434,434,180,Serious Cases,ANDA200142
435,435,24,Death,ANDA200142
436,436,99,Hospitalization,ANDA200142
437,437,6,Life Threatening Event,ANDA200142
438,438,3905,Serious Cases,ANDA040350
439,439,480,Death,ANDA040350
440,440,101,Disabling,ANDA040350
441,441,2009,Hospitalization,ANDA040350
442,442,352,Life Threatening Event,ANDA040350
443,443,294,Serious Cases,BLA761033
444,444,15,Death,BLA761033
445,445,3,Disabling,BLA761033
446,446,110,Hospitalization,BLA761033
447,447,3,Life Threatening Event,BLA761033
448,448,16780,Serious Cases,NDA021068
449,449,2804,Death,NDA021068
450,450,676,Disabling,NDA021068
451,451,9473,Hospitalization,NDA021068
452,452,1210,Life Threatening Event,NDA021068
453,453,17058,Serious Cases,NDA203752
454,454,691,Death,NDA203752
455,455,880,Disabling,NDA203752
456,456,5555,Hospitalization,NDA203752
457,457,583,Life Threatening Event,NDA203752
458,458,8200,Serious Cases,ANDA076222
459,459,2732,Death,ANDA076222
460,460,184,Disabling,ANDA076222
461,461,3389,Hospitalization,ANDA076222
462,462,921,Life Threatening Event,ANDA076222
463,463,9568,Serious Cases,ANDA078699
464,464,1319,Death,ANDA078699
465,465,293,Disabling,ANDA078699
466,466,3902,Hospitalization,ANDA078699
467,467,518,Life Threatening Event,ANDA078699
468,468,763,Serious Cases,NDA021150
469,469,88,Death,NDA021150
470,470,170,Disabling,NDA021150
471,471,244,Hospitalization,NDA021150
472,472,113,Life Threatening Event,NDA021150
473,473,395,Serious Cases,ANDA204521
474,474,77,Death,ANDA204521
475,475,21,Disabling,ANDA204521
476,476,153,Hospitalization,ANDA204521
477,477,28,Life Threatening Event,ANDA204521
478,478,1636,Serious Cases,NDA022416
479,479,73,Death,NDA022416
480,480,24,Disabling,NDA022416
481,481,449,Hospitalization,NDA022416
482,482,85,Life Threatening Event,NDA022416
483,483,469,Serious Cases,NDA208745
484,484,52,Death,NDA208745
485,485,13,Disabling,NDA208745
486,486,183,Hospitalization,NDA208745
487,487,11,Life Threatening Event,NDA208745
488,488,14757,Serious Cases,NDA021303
489,489,424,Death,NDA021303
490,490,840,Disabling,NDA021303
491,491,3992,Hospitalization,NDA021303
492,492,430,Life Threatening Event,NDA021303
493,493,95463,Serious Cases,NDA019516
494,494,32844,Death,NDA019516
495,495,8630,Disabling,NDA019516
496,496,19811,Hospitalization,NDA019516
497,497,2480,Life Threatening Event,NDA019516
498,498,378,Serious Cases,ANDA209345
499,499,18,Death,ANDA209345
500,500,10,Disabling,ANDA209345
501,501,142,Hospitalization,ANDA209345
502,502,6,Life Threatening Event,ANDA209345
503,503,56818,Serious Cases,NDA020985
504,504,9050,Death,NDA020985
505,505,1116,Disabling,NDA020985
506,506,24247,Hospitalization,NDA020985
507,507,4494,Life Threatening Event,NDA020985
508,508,10779,Serious Cases,ANDA209714
509,509,2033,Death,ANDA209714
510,510,142,Disabling,ANDA209714
511,511,2881,Hospitalization,ANDA209714
512,512,428,Life Threatening Event,ANDA209714
513,513,1582,Serious Cases,ANDA091482
514,514,225,Death,ANDA091482
515,515,63,Disabling,ANDA091482
516,516,736,Hospitalization,ANDA091482
517,517,124,Life Threatening Event,ANDA091482
518,518,8358,Serious Cases,ANDA075143
519,519,1719,Death,ANDA075143
520,520,168,Disabling,ANDA075143
521,521,4201,Hospitalization,ANDA075143
522,522,482,Life Threatening Event,ANDA075143
523,523,180,Serious Cases,ANDA208699
524,524,18,Death,ANDA208699
525,525,14,Disabling,ANDA208699
526,526,105,Hospitalization,ANDA208699
527,527,10,Life Threatening Event,ANDA208699
528,528,37558,Serious Cases,ANDA204345
529,529,8495,Death,ANDA204345
530,530,671,Disabling,ANDA204345
531,531,15460,Hospitalization,ANDA204345
532,532,1965,Life Threatening Event,ANDA204345
533,533,9432,Serious Cases,ANDA203557
534,534,2105,Death,ANDA203557
535,535,211,Disabling,ANDA203557
536,536,5602,Hospitalization,ANDA203557
537,537,1625,Life Threatening Event,ANDA203557
538,538,11403,Serious Cases,NDA020165
539,539,1485,Death,NDA020165
540,540,347,Disabling,NDA020165
541,541,4789,Hospitalization,NDA020165
542,542,594,Life Threatening Event,NDA020165
543,543,1604,Serious Cases,NDA018677
544,544,95,Death,NDA018677
545,545,45,Disabling,NDA018677
546,546,562,Hospitalization,NDA018677
547,547,108,Life Threatening Event,NDA018677
548,548,36,Serious Cases,ANDA083246
549,549,10,Death,ANDA083246
550,550,1,Disabling,ANDA083246
551,551,14,Hospitalization,ANDA083246
552,552,3,Life Threatening Event,ANDA083246
553,553,197,Serious Cases,NDA050756
554,554,5,Death,NDA050756
555,555,14,Disabling,NDA050756
556,556,97,Hospitalization,NDA050756
557,557,13,Life Threatening Event,NDA050756
558,558,2109,Serious Cases,ANDA205955
559,559,341,Death,ANDA205955
560,560,85,Disabling,ANDA205955
561,561,1090,Hospitalization,ANDA205955
562,562,174,Life Threatening Event,ANDA205955
563,563,78,Serious Cases,ANDA091346
564,564,1,Death,ANDA091346
565,565,7,Disabling,ANDA091346
566,566,21,Hospitalization,ANDA091346
567,567,8,Life Threatening Event,ANDA091346
568,568,46,Serious Cases,NDA203414
569,569,4,Death,NDA203414
570,570,3,Disabling,NDA203414
571,571,22,Hospitalization,NDA203414
572,572,298,Serious Cases,NDA050717
573,573,15,Death,NDA050717
574,574,21,Disabling,NDA050717
575,575,163,Hospitalization,NDA050717
576,576,13,Life Threatening Event,NDA050717
577,577,13017,Serious Cases,NDA022145
578,578,1523,Death,NDA022145
579,579,512,Disabling,NDA022145
580,580,4838,Hospitalization,NDA022145
581,581,777,Life Threatening Event,NDA022145
582,582,2885,Serious Cases,NDA020758
583,583,269,Death,NDA020758
584,584,142,Disabling,NDA020758
585,585,1463,Hospitalization,NDA020758
586,586,140,Life Threatening Event,NDA020758
587,587,888,Serious Cases,part355
588,588,132,Death,part355
589,589,58,Disabling,part355
590,590,394,Hospitalization,part355
591,591,61,Life Threatening Event,part355
592,592,803,Serious Cases,BLA021663
593,593,28,Death,BLA021663
594,594,27,Disabling,BLA021663
595,595,457,Hospitalization,BLA021663
596,596,38,Life Threatening Event,BLA021663
597,597,20144,Serious Cases,part338
598,598,5149,Death,part338
599,599,570,Disabling,part338
600,600,7673,Hospitalization,part338
601,601,1127,Life Threatening Event,part338
602,602,42660,Serious Cases,NDA020449
603,603,7501,Death,NDA020449
604,604,2831,Disabling,NDA020449
605,605,16560,Hospitalization,NDA020449
606,606,2840,Life Threatening Event,NDA020449
607,607,4716,Serious Cases,ANDA203007
608,608,540,Death,ANDA203007
609,609,61,Disabling,ANDA203007
610,610,2149,Hospitalization,ANDA203007
611,611,220,Life Threatening Event,ANDA203007
612,612,1801,Serious Cases,NDA209377
613,613,355,Death,NDA209377
614,614,46,Disabling,NDA209377
615,615,1064,Hospitalization,NDA209377
616,616,120,Life Threatening Event,NDA209377
617,617,3294,Serious Cases,NDA019614
618,618,745,Death,NDA019614
619,619,151,Disabling,NDA019614
620,620,1697,Hospitalization,NDA019614
621,621,372,Life Threatening Event,NDA019614
622,622,56805,Serious Cases,BLA125160
623,623,2441,Death,BLA125160
624,624,3825,Disabling,BLA125160
625,625,15245,Hospitalization,BLA125160
626,626,1965,Life Threatening Event,BLA125160
627,627,7245,Serious Cases,ANDA075135
628,628,1469,Death,ANDA075135
629,629,357,Disabling,ANDA075135
630,630,4186,Hospitalization,ANDA075135
631,631,976,Life Threatening Event,ANDA075135
632,632,3958,Serious Cases,ANDA212963
633,633,824,Death,ANDA212963
634,634,135,Disabling,ANDA212963
635,635,1921,Hospitalization,ANDA212963
636,636,227,Life Threatening Event,ANDA212963
637,637,5810,Serious Cases,BLA019764
638,638,513,Death,BLA019764
639,639,147,Disabling,BLA019764
640,640,2153,Hospitalization,BLA019764
641,641,265,Life Threatening Event,BLA019764
642,642,46768,Serious Cases,NDA209501
643,643,7525,Death,NDA209501
644,644,2221,Disabling,NDA209501
645,645,22542,Hospitalization,NDA209501
646,646,3666,Life Threatening Event,NDA209501
647,647,679,Serious Cases,NDA022192
648,648,56,Death,NDA022192
649,649,21,Disabling,NDA022192
650,650,210,Hospitalization,NDA022192
651,651,31,Life Threatening Event,NDA022192
652,652,1447,Serious Cases,NDA022399
653,653,680,Death,NDA022399
654,654,51,Disabling,NDA022399
655,655,322,Hospitalization,NDA022399
656,656,27,Life Threatening Event,NDA022399
657,657,19116,Serious Cases,NDA022309
658,658,1559,Death,NDA022309
659,659,1212,Disabling,NDA022309
660,660,7288,Hospitalization,NDA022309
661,661,797,Life Threatening Event,NDA022309
662,662,3951,Serious Cases,NDA021598
663,663,344,Death,NDA021598
664,664,214,Disabling,NDA021598
665,665,1430,Hospitalization,NDA021598
666,666,220,Life Threatening Event,NDA021598
667,667,307,Serious Cases,ANDA075863
668,668,8,Death,ANDA075863
669,669,12,Disabling,ANDA075863
670,670,129,Hospitalization,ANDA075863
671,671,34,Life Threatening Event,ANDA075863
672,672,288,Serious Cases,ANDA203495
673,673,13,Death,ANDA203495
674,674,10,Disabling,ANDA203495
675,675,146,Hospitalization,ANDA203495
676,676,7,Life Threatening Event,ANDA203495
677,677,44446,Serious Cases,NDA019962
678,678,6490,Death,NDA019962
679,679,1321,Disabling,NDA019962
680,680,24477,Hospitalization,NDA019962
681,681,2275,Life Threatening Event,NDA019962
682,682,583,Serious Cases,ANDA213897
683,683,63,Death,ANDA213897
684,684,14,Disabling,ANDA213897
685,685,332,Hospitalization,ANDA213897
686,686,86,Life Threatening Event,ANDA213897
687,687,6589,Serious Cases,ANDA203896
688,688,715,Death,ANDA203896
689,689,292,Disabling,ANDA203896
690,690,4134,Hospitalization,ANDA203896
691,691,590,Life Threatening Event,ANDA203896
692,692,8125,Serious Cases,NDA021742
693,693,775,Death,NDA021742
694,694,321,Disabling,NDA021742
695,695,3915,Hospitalization,NDA021742
696,696,284,Life Threatening Event,NDA021742
697,697,29436,Serious Cases,NDA022577
698,698,1857,Death,NDA022577
699,699,430,Disabling,NDA022577
700,700,6003,Hospitalization,NDA022577
701,701,621,Life Threatening Event,NDA022577
702,702,52219,Serious Cases,M004
703,703,16848,Death,M004
704,704,1885,Disabling,M004
705,705,22411,Hospitalization,M004
706,706,4723,Life Threatening Event,M004
707,707,51527,Serious Cases,NDA207620
708,708,13188,Death,NDA207620
709,709,906,Disabling,NDA207620
710,710,17563,Hospitalization,NDA207620
711,711,1959,Life Threatening Event,NDA207620
712,712,8,Serious Cases,ANDA205975
713,713,1,Death,ANDA205975
714,714,3,Hospitalization,ANDA205975
715,715,2,Life Threatening Event,ANDA205975
716,716,1060,Serious Cases,ANDA078350
717,717,162,Death,ANDA078350
718,718,41,Disabling,ANDA078350
719,719,623,Hospitalization,ANDA078350
720,720,113,Life Threatening Event,ANDA078350
721,721,20082,Serious Cases,NDA021695
722,722,2203,Death,NDA021695
723,723,684,Disabling,NDA021695
724,724,10427,Hospitalization,NDA021695
725,725,1164,Life Threatening Event,NDA021695
726,726,52720,Serious Cases,NDA020505
727,727,4598,Death,NDA020505
728,728,2338,Disabling,NDA020505
729,729,19035,Hospitalization,NDA020505
730,730,2520,Life Threatening Event,NDA020505
731,731,21385,Serious Cases,BLA125156
732,732,4979,Death,BLA125156
733,733,791,Disabling,BLA125156
734,734,4676,Hospitalization,BLA125156
735,735,439,Life Threatening Event,BLA125156
736,736,11572,Serious Cases,ANDA201537
737,737,4171,Death,ANDA201537
738,738,203,Disabling,ANDA201537
739,739,5795,Hospitalization,ANDA201537
